path,split
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180508_114051_f000330_fc00146973_4d87dc.png,eval
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180508_142445_f000550_fc00191778_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180509_122547_f000660_fc00161781_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180509_132456_f000000_fc00306675_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180509_155652_f000770_fc00127095_4d87dc.png,eval
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180517_115658_f000000_fc00018183_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180517_141544_f000000_fc00362535_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180517_141644_f000110_fc00365352_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180517_141744_f000110_fc00367839_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180517_142545_f000110_fc00387741_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180517_142746_f000550_fc00394038_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180517_144248_f000330_fc00430698_4d87dc.png,eval
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180517_154458_f000660_fc00585939_4d87dc.png,eval
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180518_133940_f000660_fc00150714_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180518_151235_f000660_fc00040086_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180518_151335_f000330_fc00041586_4d87dc.png,eval
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180518_153138_f000000_fc00085383_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180518_172456_f000000_fc00366561_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180519_072703_f000220_fc00018225_4d87dc.png,eval
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180519_110030_f000000_fc00204309_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180519_110931_f000247_fc00227451_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180519_113436_f000770_fc00291243_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180519_113937_f000770_fc00303684_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180519_121643_f000330_fc00394431_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180519_125850_f000110_fc00498282_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180519_162605_f000220_fc00145080_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180519_170111_f000770_fc00233814_4d87dc.png,eval
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180519_170912_f000000_fc00251412_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180519_171212_f000220_fc00259533_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180519_171413_f000550_fc00265503_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180519_184240_f000220_fc00032652_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180520_134700_f000770_fc00859872_4d87dc.png,eval
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180521_184145_f000660_fc00175650_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180605_150452_f000110_fc00373848_4d87dc.png,eval
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-CN_13R7C_20180605_150452_f000770_fc00375828_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180124_115838_f000292_fc00559815_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180124_121942_f000257_fc00611982_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180124_123845_f000210_fc00659139_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180124_130702_f000778_fc00731001_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180124_170108_f000550_fc00437745_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180125_072548_f000330_fc00024474_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180125_082359_f000681_fc00169899_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180125_102120_f000578_fc00060333_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180125_122940_f000454_fc00056850_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180125_123140_f000000_fc00060468_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180125_123741_f000000_fc00075405_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180125_124543_f000811_fc00097749_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180125_124944_f000508_fc00106797_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180126_090422_f000593_fc00187938_4d87dc.png,eval
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180126_124404_f000210_fc00731940_4d87dc.png,eval
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180126_124804_f000669_fc00743274_4d87dc.png,eval
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180126_144310_f000651_fc00106623_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180126_151215_f000588_fc00178623_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180126_160948_f000247_fc00320382_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180129_090201_f000628_fc00142950_4d87dc.png,eval
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180129_095126_f000380_fc00264828_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180129_100329_f000000_fc00293559_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180129_110705_f000000_fc00451383_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180129_120115_f000685_fc00587856_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180129_144432_f000274_fc00276678_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180130_103146_f000224_fc00325017_4d87dc.png,eval
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180130_110247_f000585_fc00403071_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180130_113949_f000224_fc00493860_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180130_153314_f000440_fc00427635_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180130_162228_f000236_fc00021594_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180201_144213_f000220_fc00234006_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180205_151442_f000612_fc00144144_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180205_161958_f000780_fc00306588_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180206_093253_f000284_fc00029283_4d87dc.png,eval
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180206_123755_f000227_fc00488241_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180206_143942_f000727_fc00154632_4d87dc.png,train
/shares/CC_v_Val_FV_Gen3_all/SemsegCrosswalkRestrictedArea/train_rgb/images/DS-JP_708_20180206_145044_f000443_fc00181161_4d87dc.png,train
